1.1013328,0.6799533,9.730036,01-20 09:42:02:223
1.1971009,0.5267244,10.084377,01-20 09:42:02:244
1.292869,0.39264908,10.199299,01-20 09:42:02:268
1.2545617,0.34476504,10.189722,01-20 09:42:02:286
1.283292,0.38307226,9.998186,01-20 09:42:02:303
1.2066777,0.5363012,9.816227,01-20 09:42:02:323
1.1492168,0.58418524,9.624691,01-20 09:42:02:343
1.1492168,0.5650316,9.471462,01-20 09:42:02:368
1.1971009,0.61291564,9.519346,01-20 09:42:02:386
1.2258313,0.61291564,9.56723,01-20 09:42:02:403
1.1779473,0.61291564,9.758766,01-20 09:42:02:423
1.1683705,0.545878,9.80665,01-20 09:42:02:443
1.13964,0.50757074,9.787497,01-20 09:42:02:468
1.1109096,0.5554548,9.835381,01-20 09:42:02:484
1.2354081,0.5554548,9.749189,01-20 09:42:02:503
1.1587936,0.5650316,9.701305,01-20 09:42:02:524
1.0534488,0.59376204,9.854534,01-20 09:42:02:543
1.2162545,0.4405331,9.902418,01-20 09:42:02:563
1.1683705,0.45010993,9.835381,01-20 09:42:02:583
1.13964,0.5650316,9.768343,01-20 09:42:02:603
1.2066777,0.5554548,9.710882,01-20 09:42:02:623
1.091756,0.5746084,9.653421,01-20 09:42:02:643
1.1492168,0.58418524,9.662998,01-20 09:42:02:666
1.1779473,0.59376204,9.739613,01-20 09:42:02:683
1.2162545,0.59376204,9.758766,01-20 09:42:02:703
1.1300632,0.545878,9.720459,01-20 09:42:02:723
1.13964,0.46926352,9.624691,01-20 09:42:02:744
1.1204864,0.51714754,9.557653,01-20 09:42:02:764
1.13964,0.51714754,9.624691,01-20 09:42:02:783
1.13964,0.48841715,9.80665,01-20 09:42:02:803
1.2258313,0.4405331,9.864111,01-20 09:42:02:823
1.1492168,0.46926352,9.959879,01-20 09:42:02:843
1.1109096,0.40222588,9.959879,01-20 09:42:02:863
1.091756,0.4213795,10.01734,01-20 09:42:02:883
1.13964,0.36391866,9.959879,01-20 09:42:02:903
1.1300632,0.37349546,9.758766,01-20 09:42:02:923
1.091756,0.4309563,9.624691,01-20 09:42:02:943
1.0726024,0.4309563,9.615114,01-20 09:42:02:963
1.1013328,0.4213795,9.749189,01-20 09:42:02:983
1.1109096,0.36391866,9.816227,01-20 09:42:03:003
1.1109096,0.45968673,9.749189,01-20 09:42:03:023
1.043872,0.45010993,9.682152,01-20 09:42:03:045
1.0151415,0.39264908,9.662998,01-20 09:42:03:063
1.1300632,0.41180268,9.80665,01-20 09:42:03:084
1.0151415,0.45010993,10.036493,01-20 09:42:03:103
0.8523358,0.4309563,10.275913,01-20 09:42:03:123
0.93852705,0.45010993,10.055647,01-20 09:42:03:144
1.0342951,0.5650316,9.691729,01-20 09:42:03:163
1.1492168,0.6991069,9.528923,01-20 09:42:03:184
1.2449849,0.6895301,9.557653,01-20 09:42:03:204
1.1300632,0.51714754,9.490616,01-20 09:42:03:224
0.90021986,0.37349546,9.471462,01-20 09:42:03:243
0.8331822,0.23942018,9.595961,01-20 09:42:03:263
0.8523358,0.18195933,9.720459,01-20 09:42:03:283
0.9576807,0.19153613,9.816227,01-20 09:42:03:303
0.9672575,0.20111294,9.873688,01-20 09:42:03:323
0.94810385,0.21068975,9.816227,01-20 09:42:03:344
0.92895025,0.2873042,9.787497,01-20 09:42:03:363
0.92895025,0.2873042,9.797073,01-20 09:42:03:383
0.9576807,0.25857377,9.825804,01-20 09:42:03:403
0.9959879,0.32561144,9.864111,01-20 09:42:03:424
1.0247183,0.35434186,9.854534,01-20 09:42:03:443
1.0247183,0.38307226,9.720459,01-20 09:42:03:463
1.0534488,0.39264908,9.586384,01-20 09:42:03:483
1.0247183,0.33518824,9.615114,01-20 09:42:03:504
0.9959879,0.21068975,9.720459,01-20 09:42:03:524
