0.6703765,2.5474305,8.6574335,01-15 15:01:22:692,Walking
0.81402856,2.5187001,8.820239,01-15 15:01:22:694,Walking
1.13964,2.4995465,9.289502,01-15 15:01:22:698,Walking
1.283292,2.585738,9.720459,01-15 15:01:22:702,Walking
1.484405,2.719813,10.113108,01-15 15:01:22:706,Walking
1.8579005,2.8634653,10.5440645,01-15 15:01:22:710,Walking
2.27928,2.9975405,10.821792,01-15 15:01:22:715,Walking
2.7485435,3.1411927,11.042058,01-15 15:01:22:718,Walking
3.2273839,3.3135753,11.15698,01-15 15:01:22:722,Walking
3.5817258,3.514688,11.15698,01-15 15:01:22:726,Walking
4.2425256,3.7253778,11.042058,01-15 15:01:22:732,Walking
3.916914,3.9743748,10.812215,01-15 15:01:22:734,Walking
3.8594532,4.003105,10.505757,01-15 15:01:22:738,Walking
3.7062242,3.9839516,10.113108,01-15 15:01:22:742,Walking
3.3901896,3.8786068,9.691729,01-15 15:01:22:753,Walking
2.920926,3.763685,9.299079,01-15 15:01:22:754,Walking
2.3942018,3.620033,8.916007,01-15 15:01:22:755,Walking
2.0207062,3.466804,8.676587,01-15 15:01:22:758,Walking
1.7046716,3.265691,8.542512,01-15 15:01:22:764,Walking
1.4748282,3.169923,8.523358,01-15 15:01:22:766,Walking
1.3790601,3.1507695,8.552089,01-15 15:01:22:770,Walking
1.4939818,3.169923,8.590396,01-15 15:01:22:774,Walking
1.8100165,3.1890767,8.695741,01-15 15:01:22:779,Walking
2.0207062,3.2848446,8.762778,01-15 15:01:22:786,Walking
1.9057846,3.2944214,8.7053175,01-15 15:01:22:787,Walking
1.9249382,3.323152,8.686164,01-15 15:01:22:790,Walking
2.0015526,3.3518825,8.743625,01-15 15:01:22:794,Walking
2.3080103,3.4380736,8.896853,01-15 15:01:22:798,Walking
2.585738,3.5434184,9.078813,01-15 15:01:22:802,Walking
2.767697,3.6774938,9.32781,01-15 15:01:22:806,Walking
2.777274,3.7828386,9.624691,01-15 15:01:22:810,Walking
2.6719291,3.7732618,9.873688,01-15 15:01:22:815,Walking
2.528277,3.6583402,10.04607,01-15 15:01:22:818,Walking
2.4229321,3.4859576,10.151415,01-15 15:01:22:822,Walking
2.384625,3.3614593,10.160992,01-15 15:01:22:826,Walking
2.4037786,3.265691,10.151415,01-15 15:01:22:835,Walking
2.5187001,3.2082303,10.103531,01-15 15:01:22:836,Walking
2.6240451,3.217807,10.065224,01-15 15:01:22:838,Walking
2.8060043,3.2561142,9.959879,01-15 15:01:22:842,Walking
3.074155,3.3614593,9.844957,01-15 15:01:22:847,Walking
3.323152,3.5051112,9.662998,01-15 15:01:22:850,Walking
3.5434184,3.7253778,9.346964,01-15 15:01:22:854,Walking
3.7253778,3.9552212,9.040505,01-15 15:01:22:858,Walking
3.8881836,4.1180267,8.66701,01-15 15:01:22:864,Walking
3.9935284,4.271256,8.197746,01-15 15:01:22:866,Walking
4.0318356,4.3382936,7.8146744,01-15 15:01:22:870,Walking
3.8307228,4.4340615,7.479486,01-15 15:01:22:874,Walking
4.175488,4.213795,7.0006456,01-15 15:01:22:881,Walking
6.9048777,2.9879637,6.4260373,01-15 15:01:22:882,Walking
7.7189064,2.3654714,5.9567738,01-15 15:01:22:886,Walking
6.397307,2.3175871,5.4683566,01-15 15:01:22:891,Walking
4.2042184,2.7102363,5.4300494,01-15 15:01:22:895,Walking
1.9919758,3.2752678,5.6215854,01-15 15:01:22:902,Walking
0.31603462,3.6774938,5.7748146,01-15 15:01:22:903,Walking
-0.45010993,3.7349546,5.889736,01-15 15:01:22:929,Walking
-0.6799533,3.4476504,5.899313,01-15 15:01:22:930,Walking
-0.6991069,3.1411927,5.9663506,01-15 15:01:22:931,Walking
-0.62249243,2.9400797,6.1195793,01-15 15:01:22:932,Walking
-0.5363012,2.8538885,6.4164605,01-15 15:01:22:933,Walking
-0.41180268,2.873042,6.7133417,01-15 15:01:22:934,Walking
-0.18195933,2.9496565,7.1251445,01-15 15:01:22:935,Walking
0.11492168,3.122039,7.8050976,01-15 15:01:22:935,Walking
0.4309563,3.1986535,8.341399,01-15 15:01:22:940,Walking
0.6991069,3.016694,8.762778,01-15 15:01:22:946,Walking
0.7374141,2.4037786,9.203311,01-15 15:01:22:947,Walking
1.2545617,2.384625,9.854534,01-15 15:01:22:951,Walking
1.982399,2.5187001,10.496181,01-15 15:01:22:954,Walking
2.777274,2.6623523,10.898406,01-15 15:01:22:958,Walking
3.3614593,2.8634653,11.118672,01-15 15:01:22:963,Walking
3.86903,3.1507695,11.070788,01-15 15:01:22:966,Walking
4.2042184,3.323152,10.812215,01-15 15:01:22:970,Walking
4.4340615,3.3327289,10.362105,01-15 15:01:22:974,Walking
4.5202527,3.2944214,9.816227,01-15 15:01:22:979,Walking
4.414908,3.2848446,9.423578,01-15 15:01:22:982,Walking
4.175488,3.217807,9.069236,01-15 15:01:22:986,Walking
3.8594532,3.1028855,8.619126,01-15 15:01:22:990,Walking
3.572149,2.9017725,8.178593,01-15 15:01:22:997,Walking
3.3039982,2.7485435,7.795521,01-15 15:01:22:998,Walking
3.016694,2.5761611,7.374141,01-15 15:01:23:002,Walking
2.7964275,2.4899697,7.019799,01-15 15:01:23:006,Walking
2.585738,2.3558946,6.7229185,01-15 15:01:23:010,Walking
2.4229321,2.2697031,6.483498,01-15 15:01:23:014,Walking
