label,mean,max,min,std
0,10.2337624871,18.0744819832,5.13682994488,3.02278456677
0,10.7512453215,27.8345125663,2.72122888967,4.76745304063
0,11.6569441648,42.1272036867,0.655364340601,9.67029724315
0,12.581339209,55.4808341167,1.28307764193,11.7108669472
0,11.5890922421,57.5396889593,0.904184439399,11.7925266889
0,12.1985525971,55.8129218995,1.29027707469,10.2150913327
0,10.8535015541,48.6226190281,0.792216680235,10.701605823
0,12.5770764854,52.8479741798,0.975283830235,11.4661718963
0,12.0970116496,45.3549368408,1.81757592648,10.0718400141
0,11.5388540732,42.1730362664,1.40178415213,8.78339783569
0,12.2220213546,45.6151126096,2.21994012114,10.1140614569
0,10.9788389782,47.1540888462,1.33808245164,10.1312010654
0,12.4749983007,49.051625839,0.629816151618,10.3411637718
0,10.9361782355,24.9184501046,2.93466248187,5.61067632045
0,10.9195911153,23.1961252844,3.47953218542,4.33046609993
0,9.96813367858,17.0545975415,4.53915399569,2.46874984369
0,10.4318269491,22.1443149048,1.72260110701,5.16050754014
0,11.4284171235,18.8482140234,3.66412684848,3.93832009505
0,10.7289277671,21.4921185319,2.97549090632,4.51871567714
0,11.1964457925,20.6107671637,3.56909226113,4.34910158425
0,9.68008146355,12.8379551911,6.32261472331,1.64686485242
0,10.7108481255,19.6271387501,4.79955682826,3.12220157415
0,10.8052226733,21.3399030802,1.86071214322,4.28622730496
0,11.1573673911,20.8065311674,1.91830395024,4.86871391177
0,10.7784184237,22.4716177313,2.24714425309,5.00455160607
0,11.4016958246,27.3481995074,2.59448404244,5.28938468161
0,10.7438369635,19.4518833381,2.80876489273,4.57370796721
0,11.1709566576,21.953177888,1.95002697127,4.91038722567
0,11.1568058285,24.9370222724,2.3930714076,5.5745670839
0,11.0517720287,24.1611774536,2.51416258922,5.5188351928
0,11.6634213873,19.0280907575,2.89443024728,4.80854004495
0,11.4813786587,24.7346539795,3.53687709016,5.24362557175
0,11.3333494836,21.5889565752,3.68587639264,4.52592265504
0,10.7976478192,20.1604994969,2.20281133333,5.02578727735
0,10.4915263337,20.6374579885,2.7553754835,4.90219072169
0,11.627013421,23.0092950002,2.1649091159,5.05810409855
0,10.7120749171,24.369301558,3.36860031311,4.99981005779
0,11.4123617699,22.2532742749,1.84693372009,4.84212645968
0,11.4139311221,26.9910342094,3.16620295753,6.11275316782
0,12.3096223817,22.965648779,3.86688402411,5.44739395559
0,11.6408876113,26.3029297064,4.66584157312,5.15659519257
0,11.2400391901,22.4704540479,4.45729124241,4.04383903913
0,12.0596831524,20.8628846603,4.62163049382,4.31070393727
0,11.0161383028,21.3910124541,2.8545632439,4.58276714461
